"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 11 12:09:41 IST 2020","Wed Nov 11 12:09:41 IST 2020","367","","User API service","","User API service","post User","post User",""
"passed","Wed Nov 11 12:09:40 IST 2020","Wed Nov 11 12:09:41 IST 2020","664","","User API service","","User API service","get Users","get Users",""
